id_estudante,altura_cm
1,173.0
2,159.6
3,177.5
4,179.4
5,150.5
6,157.0
7,171.3
8,166.8
9,169.8
10,161.5
11,178.8
12,177.8
13,170.7
14,181.3
15,174.7
16,161.4
17,173.7
18,160.4
19,178.8
20,169.5
21,168.2
22,163.2
23,182.2
24,168.5
25,165.7
26,166.5
27,175.3
28,173.7
29,174.1
30,174.3
31,191.4
32,165.9
33,164.9
34,161.9
35,176.2
36,181.3
37,168.9
38,161.6
39,161.8
40,176.5
41,177.4
42,175.4
43,163.3
44,172.3
45,171.2
46,172.2
47,178.7
48,172.2
49,176.8
50,170.7
51,172.9
52,176.3
53,155.4
54,166.8
55,165.3
56,163.6
57,167.2
58,184.9
59,161.3
60,179.7
61,153.2
62,166.7
63,171.6
64,175.9
65,177.1
66,177.9
67,166.5
68,165.4
69,178.6
70,168.1
71,157.2
72,158.7
73,160.8
74,175.0
75,171.4
76,176.9
77,165.7
78,171.6
79,176.3
80,166.9
81,174.6
82,163.4
83,166.4
84,166.2
85,158.0
86,174.9
87,165.3
88,170.1
89,174.8
90,174.5
91,176.7
92,169.0
93,165.8
94,169.2
95,153.1
96,155.5
97,156.8
98,160.0
99,174.0
100,160.9
101,166.2
102,183.0
103,166.4
104,177.4
105,160.7
106,167.9
107,160.5
108,166.6
109,178.4
110,152.7
111,174.3
112,172.4
113,164.1
114,155.5
115,170.7
116,164.7
117,172.3
118,170.2
119,186.0
120,167.6
121,159.8
122,171.8
123,172.2
124,183.6
125,178.4
126,173.6
127,184.6
128,158.1
129,163.6
130,160.7
131,166.1
132,156.2
133,176.4
134,167.8
135,155.3
136,159.8
137,173.1
138,178.4
139,190.0
140,199.1
141,174.1
142,160.1
143,148.7
144,172.7
145,161.9
146,165.8
147,163.9
148,168.6
149,180.7
150,171.6
151,168.4
152,159.6
153,153.3
154,165.1
155,169.5
156,187.7
157,171.3
158,179.8
159,165.0
160,158.2
161,160.3
162,162.7
163,191.3
164,161.8
165,178.4
166,161.0
167,179.3
168,173.8
169,168.4
170,169.6
171,163.5
172,174.5
173,165.5
174,157.7
175,157.2
176,171.7
177,185.8
178,171.6
179,168.8
180,172.9
181,183.1
182,172.2
183,165.9
184,181.1
185,174.3
186,185.4
187,171.8
188,157.8
189,156.3
190,186.5
191,187.2
192,168.2
193,166.2
194,184.6
195,158.9
196,161.1
197,176.4
198,166.1
199,169.9
200,168.4
201,173.4
202,184.1
203,170.9
204,176.4
205,149.5
206,169.5
207,161.6
208,157.8
209,161.2
210,166.7
211,179.2
212,156.7
213,170.3
214,165.2
215,166.7
216,180.0
217,175.4
218,183.4
219,168.5
220,163.0
221,167.8
222,172.4
223,171.8
224,159.2
225,170.9
226,172.3
227,195.2
228,188.8
229,161.5
230,167.1
231,155.4
232,164.1
233,173.2
234,182.1
235,162.7
236,163.5
237,148.5
238,168.4
239,159.4
240,164.7
241,161.2
242,169.1
243,152.4
244,155.3
245,191.3
246,157.1
247,159.0
248,188.4
249,199.1
250,158.3
251,166.3
252,173.4
253,187.3
254,160.1
255,167.5
256,177.8
257,174.3
258,166.2
259,168.7
260,156.3
261,167.6
262,167.3
263,172.3
264,164.4
265,174.7
266,180.1
267,171.6
268,173.5
269,170.5
270,170.0
271,162.8
