Cliente_ID;Tempo_permanencia_horas;Gasto_reais
1;0.58;840.93
2;11.25;1449.9
3;2.02;1187.72
4;9.48;352.2
5;4.9;973.25
6;0.58;1383.37
7;6.77;1494.99
8;3.23;194.07
9;6.19;923.8
10;1.02;790.97
11;11.14;1430.93
12;7.76;439.03
13;10.19;1278.42
14;6.09;768.74
15;3.48;334.04
16;11.86;249.98
17;8.09;1474.09
18;11.33;1254.59
19;10.72;462.42
20;1.63;1418.63
21;10.72;741.75
22;2.08;1135.27
23;4.74;635.94
24;4.18;164.56
25;6.68;694.41
26;8.86;1144.85
27;5.8;1499.0
28;4.26;1111.68
29;3.01;237.52
30;0.69;444.11
31;8.54;1258.54
32;0.71;1407.59
33;1.15;1309.13
34;3.88;185.42
35;5.85;1431.81
36;11.85;217.77
37;5.23;1068.61
38;11.28;460.56
39;0.73;424.73
40;4.95;845.85
41;1.04;444.56
42;9.58;653.67
43;6.24;630.36
44;7.27;577.65
45;3.52;382.32
46;1.59;860.14
47;1.31;280.85
48;6.13;446.54
49;11.2;1153.29
50;10.7;617.61
51;2.5;621.28
52;1.76;770.87
53;10.66;1365.85
54;9.23;387.72
55;9.86;776.07
56;4.38;402.28
57;5.56;1190.15
58;3.04;1238.4
59;11.54;221.19
60;7.39;977.01
61;1.3;1033.76
62;9.55;531.81
63;4.75;708.27
64;10.24;599.6
65;5.98;323.58
66;6.14;1143.31
67;5.14;560.75
68;6.22;412.12
69;6.66;1312.65
70;0.74;866.28
71;3.93;1059.2
72;9.57;1277.95
73;4.2;1377.21
74;11.03;525.46
75;8.03;405.07
76;11.25;1365.08
77;8.71;1108.76
78;11.39;791.25
79;6.27;409.83
80;11.29;296.64
81;3.63;382.32
82;7.78;823.47
83;10.78;878.51
84;8.12;728.43
85;11.31;634.5
86;7.28;933.4
87;0.16;574.51
88;6.09;589.87
89;7.88;598.15
90;6.5;555.53
91;10.83;916.42
92;6.54;687.95
93;8.62;786.97
94;3.82;703.94
95;5.62;1368.11
96;9.32;1013.48
97;9.05;559.84
98;9.15;1142.24
99;1.28;297.92
100;7.45;974.81
101;1.08;667.75
102;8.67;284.22
103;0.03;440.77
104;11.23;309.32
105;11.67;472.4
106;2.24;941.99
107;7.52;434.29
108;4.9;607.26
109;2.64;1147.16
110;9.98;694.27
111;10.63;1062.28
112;5.61;1163.73
113;1.31;1353.2
114;1.45;667.98
115;2.06;792.22
116;7.6;708.74
117;3.24;643.43
118;0.19;695.26
119;2.94;1380.54
120;7.03;1279.74
121;6.15;393.64
122;3.47;308.26
123;11.8;598.84
124;11.34;526.25
125;7.44;919.75
126;6.2;933.04
127;10.2;601.96
128;4.82;867.49
129;2.84;1053.85
130;3.36;1144.61
131;0.94;1354.27
132;9.08;225.92
133;4.03;1117.32
134;10.99;311.07
135;9.83;427.61
136;11.04;293.86
137;4.97;983.26
138;0.19;1372.11
139;5.07;562.26
140;9.91;680.47
141;4.66;1464.17
142;5.79;975.47
143;4.54;764.39
144;11.05;866.43
145;10.91;953.06
146;3.74;1054.02
147;3.96;1013.44
148;3.44;675.82
149;0.11;1112.02
150;11.49;1279.17
151;0.94;928.16
152;10.07;1130.54
153;5.77;978.54
154;6.79;1133.59
155;9.33;338.05
156;7.66;769.65
157;6.62;429.02
158;4.25;483.96
159;1.48;1478.65
160;9.64;1118.5
161;2.67;451.48
162;3.08;1431.45
163;4.35;978.52
164;11.45;964.42
165;11.84;1386.89
